,gen,best,mean,std,diversity,solution
0,0.0,76.72127355176772,7.941662535200535,20.517313907800233,0.21606574098804254,0
1,1.0,78.02313899822296,15.082123032252152,25.511579211139043,0.22932647808029355,0
2,2.0,80.43334758763784,22.03126419251045,27.49776036614066,0.14876622661761776,0
3,3.0,80.43334758763784,28.532726849227853,28.14729008364837,0.17731168836165742,0
4,4.0,80.43334758763784,42.347031822399565,23.516930362883404,0.24332342104387053,0
5,5.0,80.43334758763784,52.52795114498178,13.975434016095345,0.5737020556744153,0
6,6.0,80.43334758763784,54.5123244214517,14.530627500589018,0.1674555908585102,0
7,7.0,80.43334758763784,57.356657983600314,10.281072943827906,0.1560716942956527,0
8,8.0,80.43334758763784,57.8779763363204,9.817392297940046,0.4935950028706804,0
9,9.0,80.43334758763784,56.49654596699991,12.946132708585125,0.8194628777995818,0
10,10.0,80.43334758763784,58.448511134200324,9.739635469164222,0.6521000241238974,0
11,11.0,82.5833970104792,59.2766798329998,12.92966116619539,0.2900198786389635,0
12,12.0,82.5833970104792,63.09788963575065,9.875393220081545,0.20877947680956915,0
13,13.0,86.53849501043089,64.60426058040188,10.27250857025702,0.7059762749165606,0
14,14.0,86.53849501043089,64.53559801405105,12.350521332073637,0.23097780225259032,0
15,15.0,86.53849501043089,64.21797122799688,13.775723156904252,0.14540105002342985,0
16,16.0,86.53849501043089,64.71941313030914,13.583452790523245,0.1937846696162791,0
17,17.0,86.53849501043089,64.48751882530874,14.636656748475202,0.3030987224046706,0
18,18.0,86.53849501043089,66.53662667672529,11.41370213540431,0.35535443657532545,0
19,19.0,86.53849501043089,66.0222867997239,13.468925533060762,0.17361317472296503,0
20,20.0,86.53849501043089,67.42978929486495,13.670547558409703,0.16214755180699875,0
21,21.0,86.53849501043089,69.3608407913418,13.063151620458404,0.13475669458886236,0
22,22.0,86.53849501043089,68.64929349729397,15.323637305065905,0.1269189332830279,0
23,23.0,87.98586615129949,71.20619491518703,15.570324285308908,0.11374151594592588,0
24,24.0,87.98586615129949,71.07299833727625,13.927344001666418,0.08077621652637788,0
25,25.0,87.98586615129949,72.1950432856512,14.143196295768684,0.10115104341567512,0
26,26.0,87.98586615129949,74.43957086045863,10.017404235499358,0.06752285085192741,0
27,27.0,87.98586615129949,76.15762266678544,8.779955786786594,0.069914343714208,0
28,28.0,87.98586615129949,76.25681210157931,10.884715844148692,3.423447484844348,0
29,29.0,87.98586615129949,76.27049966580624,11.22822758622575,3.4415635415819446,0
30,30.0,87.98586615129949,75.75446429728964,13.8497413869186,3.4832213492957815,0
31,31.0,88.87849501043087,77.94291152721289,7.945750544448909,3.507693961031577,0
32,32.0,88.87849501043087,75.63361789313475,13.756749154778543,0.1220580253447861,0
33,33.0,88.87849501043087,76.52575816755217,11.404388376357353,0.11420020368823731,0
34,34.0,88.87849501043087,76.3070909059084,11.713863230877294,0.48605979322835213,0
35,35.0,89.61334758763783,76.4208549427347,10.617629806634342,0.12292787333628367,0
36,36.0,89.61334758763783,76.91533145530549,9.507330615001706,0.07648806918422055,0
37,37.0,89.61334758763783,77.27081653901378,11.260251038625473,0.11652281819030451,0
38,38.0,89.61334758763783,77.88273255739217,7.424992754920278,0.04981579387935797,0
39,39.0,89.61334758763783,77.26585928650769,7.563899367444389,0.045520344276504504,0
40,40.0,89.61334758763783,77.12934322645009,8.604749442039605,0.048623746062889536,0
