52.26 on trial 34 with params: {'mutation_GA': 0.11227305414696484, 'n_point_crossover_GA': 3, 'sampling_GA': 'sus', 'elitism_rate': 0.3376106750390398, 'enemies_to_train': 3}
51.81 on trial 35 with params: {'mutation_GA': 0.08257224867209563, 'n_point_crossover_GA': 4, 'sampling_GA': 'sus', 'elitism_rate': 0.342675266013938, 'enemies_to_train': 3}
51.56 on trial 36 with params: {'mutation_GA': 0.07111278719544267, 'n_point_crossover_GA': 2, 'sampling_GA': 'roulette', 'elitism_rate': 0.389121776646873, 'enemies_to_train': 4}
55.46 on trial 38 with params: {'mutation_GA': 0.06157061911483229, 'n_point_crossover_GA': 2, 'sampling_GA': 'roulette', 'elitism_rate': 0.16030385937528135, 'enemies_to_train': 4}
53.81 on trial 39 with params: {'mutation_GA': 0.005911486035025365, 'n_point_crossover_GA': 3, 'sampling_GA': 'sus', 'elitism_rate': 0.32447638985249055, 'enemies_to_train': 3}
50.52 on trial 40 with params: {'mutation_GA': 0.042857032887912254, 'n_point_crossover_GA': 2, 'sampling_GA': 'roulette', 'elitism_rate': 0.34638525168275275, 'enemies_to_train': 4}
52.32 on trial 42 with params: {'mutation_GA': 0.08157216178289757, 'n_point_crossover_GA': 2, 'sampling_GA': 'sus', 'elitism_rate': 0.313854147581, 'enemies_to_train': 4}
50.81 on trial 43 with params: {'mutation_GA': 0.10061847055395641, 'n_point_crossover_GA': 2, 'sampling_GA': 'sus', 'elitism_rate': 0.37727989637763193, 'enemies_to_train': 4}
54.06 on trial 44 with params: {'mutation_GA': 0.09366722892368579, 'n_point_crossover_GA': 2, 'sampling_GA': 'sus', 'elitism_rate': 0.285491495453409, 'enemies_to_train': 4}
51.36 on trial 48 with params: {'mutation_GA': 0.08598690414604844, 'n_point_crossover_GA': 2, 'sampling_GA': 'sus', 'elitism_rate': 0.2885067582494712, 'enemies_to_train': 4}
54.52 on trial 49 with params: {'mutation_GA': 0.058642015054852906, 'n_point_crossover_GA': 4, 'sampling_GA': 'roulette', 'elitism_rate': 0.30601011184047555, 'enemies_to_train': 4}
54.25 on trial 51 with params: {'mutation_GA': 0.06396719883886617, 'n_point_crossover_GA': 2, 'sampling_GA': 'roulette', 'elitism_rate': 0.15748275161644146, 'enemies_to_train': 4}
60.26 on trial 52 with params: {'mutation_GA': 0.023530705829472316, 'n_point_crossover_GA': 2, 'sampling_GA': 'roulette', 'elitism_rate': 0.16900216930076012, 'enemies_to_train': 4}
53.30 on trial 53 with params: {'mutation_GA': 0.02532582889668034, 'n_point_crossover_GA': 2, 'sampling_GA': 'roulette', 'elitism_rate': 0.2062666340216566, 'enemies_to_train': 4}
50.51 on trial 54 with params: {'mutation_GA': 0.09307965274070612, 'n_point_crossover_GA': 2, 'sampling_GA': 'roulette', 'elitism_rate': 0.18902250353535416, 'enemies_to_train': 4}
50.97 on trial 56 with params: {'mutation_GA': 0.054344128487525296, 'n_point_crossover_GA': 5, 'sampling_GA': 'roulette', 'elitism_rate': 0.3563200344633576, 'enemies_to_train': 4}
56.11 on trial 57 with params: {'mutation_GA': 0.04628830104299259, 'n_point_crossover_GA': 3, 'sampling_GA': 'roulette', 'elitism_rate': 0.3833017798418755, 'enemies_to_train': 4}
51.13 on trial 59 with params: {'mutation_GA': 0.09926354664494826, 'n_point_crossover_GA': 2, 'sampling_GA': 'sus', 'elitism_rate': 0.39892459050268925, 'enemies_to_train': 4}
50.00 on trial 60 with params: {'mutation_GA': 0.07959138865240101, 'n_point_crossover_GA': 3, 'sampling_GA': 'roulette', 'elitism_rate': 0.3662017428901858, 'enemies_to_train': 2}
52.80 on trial 61 with params: {'mutation_GA': 0.037710044176064536, 'n_point_crossover_GA': 4, 'sampling_GA': 'roulette', 'elitism_rate': 0.38140726198170766, 'enemies_to_train': 4}
56.29 on trial 62 with params: {'mutation_GA': 0.028093286007494885, 'n_point_crossover_GA': 3, 'sampling_GA': 'roulette', 'elitism_rate': 0.3284745733339253, 'enemies_to_train': 4}
55.01 on trial 63 with params: {'mutation_GA': 0.033121483371966534, 'n_point_crossover_GA': 4, 'sampling_GA': 'roulette', 'elitism_rate': 0.31922595890415334, 'enemies_to_train': 4}
52.77 on trial 64 with params: {'mutation_GA': 0.029642130152075792, 'n_point_crossover_GA': 2, 'sampling_GA': 'roulette', 'elitism_rate': 0.34815818804887416, 'enemies_to_train': 4}
52.01 on trial 65 with params: {'mutation_GA': 0.023509505027880056, 'n_point_crossover_GA': 2, 'sampling_GA': 'roulette', 'elitism_rate': 0.3261794324712873, 'enemies_to_train': 4}
53.10 on trial 68 with params: {'mutation_GA': 0.019187140917675937, 'n_point_crossover_GA': 2, 'sampling_GA': 'sus', 'elitism_rate': 0.31444239968773535, 'enemies_to_train': 4}
56.18 on trial 69 with params: {'mutation_GA': 0.0763314708564704, 'n_point_crossover_GA': 6, 'sampling_GA': 'roulette', 'elitism_rate': 0.29279742675715525, 'enemies_to_train': 4}
50.18 on trial 70 with params: {'mutation_GA': 0.09578175735805115, 'n_point_crossover_GA': 3, 'sampling_GA': 'sus', 'elitism_rate': 0.2721781247007829, 'enemies_to_train': 4}
50.80 on trial 71 with params: {'mutation_GA': 0.07768389522605271, 'n_point_crossover_GA': 6, 'sampling_GA': 'roulette', 'elitism_rate': 0.2975944293310456, 'enemies_to_train': 4}
55.90 on trial 72 with params: {'mutation_GA': 0.0897006931238352, 'n_point_crossover_GA': 6, 'sampling_GA': 'roulette', 'elitism_rate': 0.33472469313548436, 'enemies_to_train': 4}
52.85 on trial 73 with params: {'mutation_GA': 0.0837672364281751, 'n_point_crossover_GA': 5, 'sampling_GA': 'roulette', 'elitism_rate': 0.36550078043910844, 'enemies_to_train': 4}
52.10 on trial 74 with params: {'mutation_GA': 0.0732199223142104, 'n_point_crossover_GA': 5, 'sampling_GA': 'roulette', 'elitism_rate': 0.35140737543620365, 'enemies_to_train': 4}
51.86 on trial 75 with params: {'mutation_GA': 0.0807051728078566, 'n_point_crossover_GA': 4, 'sampling_GA': 'roulette', 'elitism_rate': 0.3346760850714447, 'enemies_to_train': 4}
50.55 on trial 76 with params: {'mutation_GA': 0.1022622395433582, 'n_point_crossover_GA': 2, 'sampling_GA': 'roulette', 'elitism_rate': 0.3099312404972977, 'enemies_to_train': 3}
53.19 on trial 77 with params: {'mutation_GA': 0.09049491199162701, 'n_point_crossover_GA': 2, 'sampling_GA': 'sus', 'elitism_rate': 0.2958596757945865, 'enemies_to_train': 4}
50.47 on trial 78 with params: {'mutation_GA': 0.07503779913331568, 'n_point_crossover_GA': 3, 'sampling_GA': 'roulette', 'elitism_rate': 0.3151097345315028, 'enemies_to_train': 4}
54.57 on trial 79 with params: {'mutation_GA': 0.09649410606090289, 'n_point_crossover_GA': 6, 'sampling_GA': 'sus', 'elitism_rate': 0.3706800647529973, 'enemies_to_train': 4}
51.77 on trial 80 with params: {'mutation_GA': 0.1069247648368658, 'n_point_crossover_GA': 2, 'sampling_GA': 'roulette', 'elitism_rate': 0.3262531916953362, 'enemies_to_train': 4}
56.26 on trial 81 with params: {'mutation_GA': 0.03276721707874489, 'n_point_crossover_GA': 3, 'sampling_GA': 'roulette', 'elitism_rate': 0.3802160680331076, 'enemies_to_train': 4}
50.91 on trial 82 with params: {'mutation_GA': 0.02893993682883037, 'n_point_crossover_GA': 3, 'sampling_GA': 'roulette', 'elitism_rate': 0.3443023205112993, 'enemies_to_train': 4}
55.33 on trial 83 with params: {'mutation_GA': 0.03424614316442693, 'n_point_crossover_GA': 4, 'sampling_GA': 'roulette', 'elitism_rate': 0.38451505726037144, 'enemies_to_train': 4}
52.46 on trial 84 with params: {'mutation_GA': 0.08431280129362169, 'n_point_crossover_GA': 3, 'sampling_GA': 'roulette', 'elitism_rate': 0.3544820907718038, 'enemies_to_train': 4}
55.92 on trial 85 with params: {'mutation_GA': 0.021992451584565895, 'n_point_crossover_GA': 3, 'sampling_GA': 'roulette', 'elitism_rate': 0.3885899506756951, 'enemies_to_train': 4}
51.93 on trial 86 with params: {'mutation_GA': 0.06873933242886929, 'n_point_crossover_GA': 2, 'sampling_GA': 'sus', 'elitism_rate': 0.3749469803900787, 'enemies_to_train': 4}
57.40 on trial 87 with params: {'mutation_GA': 0.016329319508088504, 'n_point_crossover_GA': 4, 'sampling_GA': 'roulette', 'elitism_rate': 0.36015915879024085, 'enemies_to_train': 3}
54.04 on trial 89 with params: {'mutation_GA': 0.013006101523911077, 'n_point_crossover_GA': 2, 'sampling_GA': 'roulette', 'elitism_rate': 0.3998367388703311, 'enemies_to_train': 3}
53.19 on trial 90 with params: {'mutation_GA': 0.020149481197320497, 'n_point_crossover_GA': 3, 'sampling_GA': 'sus', 'elitism_rate': 0.34287996272520915, 'enemies_to_train': 3}
52.22 on trial 91 with params: {'mutation_GA': 0.017061558182995568, 'n_point_crossover_GA': 5, 'sampling_GA': 'roulette', 'elitism_rate': 0.3215675641413839, 'enemies_to_train': 3}
52.94 on trial 92 with params: {'mutation_GA': 0.027324378995037573, 'n_point_crossover_GA': 4, 'sampling_GA': 'roulette', 'elitism_rate': 0.3526740388772865, 'enemies_to_train': 3}
53.51 on trial 93 with params: {'mutation_GA': 0.023794432071502145, 'n_point_crossover_GA': 2, 'sampling_GA': 'roulette', 'elitism_rate': 0.38606904356546057, 'enemies_to_train': 4}
52.05 on trial 94 with params: {'mutation_GA': 0.004088325416621186, 'n_point_crossover_GA': 2, 'sampling_GA': 'roulette', 'elitism_rate': 0.3724767090916664, 'enemies_to_train': 3}
51.94 on trial 95 with params: {'mutation_GA': 0.03263235214059283, 'n_point_crossover_GA': 3, 'sampling_GA': 'roulette', 'elitism_rate': 0.3360370496107256, 'enemies_to_train': 4}
55.43 on trial 96 with params: {'mutation_GA': 0.027029891049448883, 'n_point_crossover_GA': 2, 'sampling_GA': 'roulette', 'elitism_rate': 0.30550207027876475, 'enemies_to_train': 4}
51.86 on trial 97 with params: {'mutation_GA': 0.07828700383088918, 'n_point_crossover_GA': 3, 'sampling_GA': 'roulette', 'elitism_rate': 0.3604528239135175, 'enemies_to_train': 4}
53.19 on trial 99 with params: {'mutation_GA': 0.008972948208424519, 'n_point_crossover_GA': 2, 'sampling_GA': 'roulette', 'elitism_rate': 0.3291933520770964, 'enemies_to_train': 4}
