,gen,best,mean,std,solution
0,0.0,61.460000000000036,14.11800000000002,16.372738439247115,0
1,1.0,61.66000000000004,26.003400000000024,22.917507902038565,0
2,2.0,64.32000000000005,30.331200000000027,22.59326117584622,0
3,3.0,64.32000000000005,29.230600000000024,22.932756913201697,0
4,4.0,64.32000000000005,30.43680000000002,22.748025095818768,0
5,5.0,64.32000000000005,30.75180000000002,23.86880291845405,0
6,6.0,64.32000000000005,34.47680000000003,24.200450858610058,0
7,7.0,64.32000000000005,36.42100000000003,22.44719980309349,0
8,8.0,64.32000000000005,43.26840000000003,19.824767172403316,0
9,9.0,71.04000000000005,46.50600000000003,19.10578184738851,0
10,10.0,71.04000000000005,44.72860000000002,21.0670970482409,0
11,11.0,71.04000000000005,45.55800000000003,21.109740026821754,0
12,12.0,72.86000000000004,46.82040000000003,20.589992516754357,0
13,13.0,72.86000000000004,48.51720000000003,19.75368745728251,0
14,14.0,72.86000000000004,50.54040000000003,17.38481612902478,0
15,15.0,72.86000000000004,50.67760000000003,17.105187115024503,0
16,16.0,72.86000000000004,52.29180000000003,16.745946875587546,0
17,17.0,72.86000000000004,50.38680000000003,19.386697133859606,0
18,18.0,72.86000000000004,55.18020000000004,15.36239056787713,0
19,19.0,72.86000000000004,51.48680000000004,17.510985402312468,0
20,20.0,72.98000000000005,52.36260000000005,18.441421996147703,0
21,21.0,72.98000000000005,51.81920000000004,18.45018307117847,0
22,22.0,72.98000000000005,53.220200000000034,16.29215381587101,0
23,23.0,72.98000000000005,55.09880000000004,15.125965177799406,0
24,24.0,72.98000000000005,53.43980000000004,16.730386127044415,0
25,25.0,72.98000000000005,52.377800000000036,18.03242055742934,0
26,26.0,72.98000000000005,52.42140000000004,16.45818781154232,0
27,27.0,73.74000000000004,47.98120000000003,21.20663704032302,0
28,28.0,73.74000000000004,54.267000000000046,13.89815912270399,0
29,29.0,75.66000000000001,55.43300000000005,14.152622477830745,0
30,30.0,75.66000000000001,53.01260000000003,15.557635207190078,0
31,31.0,75.66000000000001,56.43360000000004,12.313571985415125,0
32,32.0,75.66000000000001,56.53160000000002,11.538089678971998,0
33,33.0,75.66000000000001,51.04220000000003,18.98590253740918,0
34,34.0,75.66000000000001,54.935200000000016,13.866222014665718,0
35,35.0,75.66000000000001,55.12880000000004,14.726490232231173,0
36,36.0,75.66000000000001,54.51820000000002,16.040870324268575,0
37,37.0,75.66000000000001,52.899600000000035,18.639950854012472,0
38,38.0,75.66000000000001,55.65740000000003,15.101101590281429,0
39,39.0,75.66000000000001,48.906000000000034,20.616205179421364,0
40,40.0,77.16000000000001,54.253400000000035,16.1567741966025,0
41,41.0,77.16000000000001,51.84860000000003,19.484507949650673,0
42,42.0,82.00000000000003,54.01000000000003,15.808181046534111,0
43,43.0,82.00000000000003,52.44420000000004,17.328358097638688,0
44,44.0,84.82000000000001,57.05700000000004,17.024033922663573,0
45,45.0,84.82000000000001,57.34680000000002,13.29201210351541,0
46,46.0,84.82000000000001,57.73260000000004,15.199919382680955,0
47,47.0,84.82000000000001,58.73840000000003,13.992315228009987,0
48,48.0,84.82000000000001,60.50780000000003,13.117434778187391,0
49,49.0,84.82000000000001,61.21560000000003,12.339461440435725,0
50,50.0,84.82000000000001,64.46900000000004,10.229868571980779,0
51,0.0,43.94000000000001,10.906600000000019,11.966022916575083,1
52,1.0,61.460000000000036,18.289400000000022,19.721905679725783,1
53,2.0,62.88000000000005,26.79360000000003,22.52592158025949,1
54,3.0,62.88000000000005,32.153400000000026,24.154801270968893,1
55,4.0,63.28000000000006,36.18660000000003,22.5110408564331,1
56,5.0,63.28000000000006,36.32640000000003,22.24979728087428,1
57,6.0,63.28000000000006,36.284400000000026,22.054681966421562,1
58,7.0,63.28000000000006,36.520000000000024,22.335162054482623,1
59,8.0,70.64000000000006,43.428000000000026,20.599191052077753,1
60,9.0,70.64000000000006,43.093200000000024,21.56579610772578,1
61,10.0,71.36000000000004,44.50700000000003,23.456261829200333,1
62,11.0,71.36000000000004,41.98160000000003,23.07428537224935,1
63,12.0,71.66000000000004,41.803200000000025,23.01360479716292,1
64,13.0,71.66000000000004,41.31020000000003,21.559699533156774,1
65,14.0,71.66000000000004,50.59960000000003,17.72930184299428,1
66,15.0,71.66000000000004,42.90240000000003,22.28689270041924,1
67,16.0,71.66000000000004,46.12280000000003,21.227989263234527,1
68,17.0,72.08000000000004,49.384600000000034,20.079842201571218,1
69,18.0,72.08000000000004,47.47920000000003,20.391252226383756,1
70,19.0,72.52000000000004,45.974400000000024,22.326690946936147,1
71,20.0,72.78000000000004,50.74600000000003,18.013984234477398,1
72,21.0,72.78000000000004,49.40360000000003,17.840544247303676,1
73,22.0,72.78000000000004,50.17760000000004,19.334217600927126,1
74,23.0,72.78000000000004,51.87460000000003,17.844923279185043,1
75,24.0,72.78000000000004,53.60820000000003,14.97944727818754,1
76,25.0,73.00000000000003,54.40060000000003,14.10880730749414,1
77,26.0,73.00000000000003,54.65360000000003,14.513332871535747,1
78,27.0,73.00000000000003,55.81740000000004,11.412158658203108,1
79,28.0,73.00000000000003,53.87240000000004,16.09123457786879,1
80,29.0,73.00000000000003,51.45920000000002,17.45163532050794,1
