,gen,enemy,best,mean,solution
0,1.0,1.0,36.0,4.32,0
1,1.0,2.0,91.2,27.823999999999998,0
2,1.0,5.0,94.72000000000006,36.396800000000084,0
3,1.0,7.0,48.0,10.08,0
4,2.0,1.0,36.0,4.56,0
5,2.0,2.0,91.2,38.864000000000004,0
6,2.0,5.0,94.72000000000006,51.244800000000104,0
7,2.0,7.0,63.520000000000095,20.300800000000002,0
8,3.0,1.0,36.0,6.48,0
9,3.0,2.0,91.2,30.031999999999996,0
10,3.0,5.0,94.72000000000006,54.8640000000001,0
11,3.0,7.0,67.3600000000001,24.054400000000005,0
12,4.0,1.0,42.0,7.68,0
13,4.0,2.0,91.2,37.008,0
14,4.0,5.0,96.40000000000003,50.80320000000007,0
15,4.0,7.0,68.8000000000001,22.432000000000002,0
16,5.0,1.0,48.0,17.77777777777778,0
17,5.0,2.0,91.2,37.74814814814815,0
18,5.0,5.0,96.40000000000003,61.39555555555566,0
19,5.0,7.0,69.2800000000001,30.16000000000001,0
20,6.0,1.0,48.0,25.555555555555557,0
21,6.0,2.0,91.2,36.94814814814815,0
22,6.0,5.0,96.40000000000003,59.08444444444454,0
23,6.0,7.0,69.2800000000001,39.65333333333334,0
24,7.0,1.0,48.0,22.88888888888889,0
25,7.0,2.0,91.2,40.088888888888896,0
26,7.0,5.0,96.40000000000003,59.56444444444452,0
27,7.0,7.0,69.2800000000001,38.180740740740745,0
28,8.0,1.0,48.0,24.22222222222222,0
29,8.0,2.0,91.2,54.859259259259254,0
30,8.0,5.0,96.88000000000002,56.26074074074084,0
31,8.0,7.0,76.96000000000012,45.07259259259259,0
32,9.0,1.0,48.0,23.11111111111111,0
33,9.0,2.0,92.80000000000001,55.333333333333336,0
34,9.0,5.0,96.88000000000002,59.45777777777786,0
35,9.0,7.0,96.40000000000003,39.34814814814815,0
36,10.0,1.0,48.0,21.310344827586206,0
37,10.0,2.0,92.80000000000001,45.90344827586207,0
38,10.0,5.0,96.88000000000002,61.44275862068974,0
39,10.0,7.0,96.40000000000003,44.00000000000001,0
40,11.0,1.0,48.0,19.03448275862069,0
41,11.0,2.0,92.80000000000001,56.606896551724134,0
42,11.0,5.0,96.88000000000002,61.27724137931044,0
43,11.0,7.0,96.40000000000003,38.03586206896553,0
44,12.0,1.0,54.0,21.310344827586206,0
45,12.0,2.0,92.80000000000001,55.751724137931035,0
46,12.0,5.0,96.88000000000002,59.056551724138004,0
47,12.0,7.0,96.40000000000003,39.11724137931035,0
48,13.0,1.0,54.0,24.0,0
49,13.0,2.0,92.80000000000001,46.33103448275862,0
50,13.0,5.0,96.88000000000002,58.77241379310353,0
51,13.0,7.0,96.40000000000003,37.56413793103449,0
52,14.0,1.0,54.0,19.448275862068964,0
53,14.0,2.0,92.80000000000001,44.46896551724138,0
54,14.0,5.0,96.88000000000002,64.52965517241388,0
55,14.0,7.0,96.40000000000003,33.685517241379316,0
56,15.0,1.0,100.0,23.548387096774192,0
57,15.0,2.0,94.4,37.406451612903226,0
58,15.0,5.0,96.88000000000002,67.32903225806459,0
59,15.0,7.0,96.40000000000003,38.07483870967742,0
60,16.0,1.0,100.0,18.322580645161292,0
61,16.0,2.0,94.4,45.406451612903226,0
62,16.0,5.0,97.12000000000003,70.05935483870975,0
63,16.0,7.0,96.40000000000003,38.123870967741944,0
64,17.0,1.0,100.0,27.225806451612904,0
65,17.0,2.0,94.4,52.954838709677425,0
66,17.0,5.0,97.12000000000003,76.4516129032259,0
67,17.0,7.0,96.40000000000003,32.52903225806452,0
68,18.0,1.0,100.0,19.483870967741936,0
69,18.0,2.0,94.4,57.535483870967745,0
70,18.0,5.0,97.12000000000003,63.38322580645169,0
71,18.0,7.0,96.40000000000003,33.303225806451614,0
72,19.0,1.0,100.0,20.838709677419356,0
73,19.0,2.0,94.4,52.29677419354839,0
74,19.0,5.0,97.12000000000003,61.90967741935492,0
75,19.0,7.0,96.40000000000003,35.04516129032258,0
76,20.0,1.0,100.0,22.0,0
77,20.0,2.0,94.4,72.81176470588234,0
78,20.0,5.0,97.12000000000003,66.47529411764715,0
79,20.0,7.0,96.40000000000003,36.31058823529413,0
80,21.0,1.0,100.0,27.823529411764707,0
81,21.0,2.0,94.4,70.95294117647057,0
82,21.0,5.0,97.12000000000003,70.3764705882354,0
83,21.0,7.0,96.40000000000003,39.01176470588236,0
84,22.0,1.0,100.0,24.470588235294116,0
85,22.0,2.0,94.4,70.05882352941177,0
86,22.0,5.0,97.12000000000003,73.53882352941184,0
87,22.0,7.0,96.40000000000003,44.463529411764725,0
88,23.0,1.0,100.0,24.470588235294116,0
89,23.0,2.0,94.4,60.74117647058823,0
90,23.0,5.0,97.12000000000003,82.12235294117657,0
91,23.0,7.0,96.40000000000003,39.30823529411766,0
92,24.0,1.0,100.0,21.823529411764707,0
93,24.0,2.0,94.4,61.01176470588236,0
94,24.0,5.0,97.12000000000003,72.78823529411773,0
95,24.0,7.0,96.40000000000003,41.8164705882353,0
96,25.0,1.0,100.0,19.08108108108108,0
97,25.0,2.0,94.4,53.11351351351351,0
98,25.0,5.0,97.12000000000003,78.22054054054063,0
99,25.0,7.0,96.40000000000003,40.22270270270271,0
100,26.0,1.0,100.0,19.243243243243242,0
101,26.0,2.0,94.4,55.891891891891895,0
102,26.0,5.0,97.60000000000002,69.31675675675685,0
103,26.0,7.0,96.40000000000003,39.12216216216218,0
104,27.0,1.0,100.0,25.243243243243242,0
105,27.0,2.0,94.4,62.99459459459461,0
106,27.0,5.0,97.60000000000002,66.531891891892,0
107,27.0,7.0,96.40000000000003,35.68648648648649,0
108,28.0,1.0,100.0,25.243243243243242,0
109,28.0,2.0,94.4,63.83783783783785,0
110,28.0,5.0,97.60000000000002,68.8562162162163,0
111,28.0,7.0,96.40000000000003,39.72540540540542,0
112,29.0,1.0,100.0,25.56756756756757,0
113,29.0,2.0,94.4,54.72432432432432,0
114,29.0,5.0,97.60000000000002,70.91675675675684,0
115,29.0,7.0,96.40000000000003,42.31783783783785,0
116,30.0,1.0,100.0,23.2,0
117,30.0,2.0,94.4,61.620000000000005,0
118,30.0,5.0,97.60000000000002,80.97800000000008,0
119,30.0,7.0,96.40000000000003,50.22200000000002,0
120,1.0,1.0,30.0,5.28,1
121,1.0,2.0,88.8,15.232000000000001,1
122,1.0,5.0,91.12000000000009,32.23360000000007,1
123,1.0,7.0,54.0,21.12,1
124,2.0,1.0,48.0,12.96,1
125,2.0,2.0,90.4,34.336,1
126,2.0,5.0,91.36000000000008,39.430400000000084,1
127,2.0,7.0,54.0,24.96,1
128,3.0,1.0,48.0,14.64,1
129,3.0,2.0,93.6,38.288000000000004,1
130,3.0,5.0,91.36000000000008,46.12480000000009,1
131,3.0,7.0,54.0,28.08,1
132,4.0,1.0,48.0,18.24,1
133,4.0,2.0,93.6,52.448,1
134,4.0,5.0,91.36000000000008,42.75520000000009,1
135,4.0,7.0,71.2000000000001,27.088,1
136,5.0,1.0,48.0,14.88888888888889,1
137,5.0,2.0,93.6,42.32592592592592,1
138,5.0,5.0,93.04000000000008,48.891851851851925,1
139,5.0,7.0,71.2000000000001,26.85925925925926,1
140,6.0,1.0,48.0,15.777777777777779,1
141,6.0,2.0,93.6,52.370370370370374,1
142,6.0,5.0,96.40000000000003,54.02962962962972,1
143,6.0,7.0,82.48000000000013,30.09777777777779,1
144,7.0,1.0,48.0,18.0,1
145,7.0,2.0,93.6,52.37037037037038,1
146,7.0,5.0,96.40000000000003,54.93629629629636,1
147,7.0,7.0,82.48000000000013,29.12592592592595,1
148,8.0,1.0,54.0,18.444444444444443,1
149,8.0,2.0,93.6,52.41481481481481,1
150,8.0,5.0,96.40000000000003,52.55407407407416,1
151,8.0,7.0,82.48000000000013,21.94074074074076,1
152,9.0,1.0,54.0,24.666666666666668,1
153,9.0,2.0,93.6,60.41481481481482,1
154,9.0,5.0,96.40000000000003,62.78518518518528,1
155,9.0,7.0,82.48000000000013,33.82222222222224,1
156,10.0,1.0,54.0,16.551724137931036,1
157,10.0,2.0,93.6,62.30344827586206,1
158,10.0,5.0,96.40000000000003,57.56965517241389,1
159,10.0,7.0,82.48000000000013,32.72000000000001,1
160,11.0,1.0,54.0,13.862068965517242,1
161,11.0,2.0,93.6,52.57931034482758,1
162,11.0,5.0,96.40000000000003,67.95862068965528,1
163,11.0,7.0,82.48000000000013,40.94896551724141,1
164,12.0,1.0,100.0,18.75862068965517,1
165,12.0,2.0,93.6,47.765517241379314,1
166,12.0,5.0,96.40000000000003,69.37379310344835,1
167,12.0,7.0,82.48000000000013,42.34758620689658,1
168,13.0,1.0,100.0,19.379310344827587,1
169,13.0,2.0,93.6,59.44827586206897,1
170,13.0,5.0,96.40000000000003,64.52413793103456,1
171,13.0,7.0,82.48000000000013,49.619310344827625,1
172,14.0,1.0,100.0,18.551724137931036,1
173,14.0,2.0,93.6,67.37931034482757,1
174,14.0,5.0,96.40000000000003,80.29517241379321,1
175,14.0,7.0,82.48000000000013,57.17793103448281,1
176,15.0,1.0,100.0,18.516129032258064,1
177,15.0,2.0,93.6,56.903225806451616,1
178,15.0,5.0,96.40000000000003,71.67741935483876,1
179,15.0,7.0,82.48000000000013,52.00000000000006,1
180,16.0,1.0,100.0,21.419354838709676,1
181,16.0,2.0,93.6,61.522580645161284,1
182,16.0,5.0,96.40000000000003,69.2206451612904,1
183,16.0,7.0,82.48000000000013,51.38580645161295,1
184,17.0,1.0,100.0,17.548387096774192,1
185,17.0,2.0,93.6,50.4516129032258,1
186,17.0,5.0,96.40000000000003,54.309677419354934,1
187,17.0,7.0,82.48000000000013,48.717419354838746,1
188,18.0,1.0,100.0,21.161290322580644,1
