,gen,enemy,best,mean,solution
227,27.0,8.0,90.88000000000008,48.404324324324406,1
228,28.0,3.0,74.4,27.275675675675675,1
229,28.0,4.0,82.48000000000013,14.968648648648658,1
230,28.0,6.0,70.2400000000001,10.817297297297301,1
231,28.0,8.0,90.88000000000008,47.56108108108114,1
232,29.0,3.0,74.4,32.508108108108104,1
233,29.0,4.0,82.48000000000013,13.904864864864868,1
234,29.0,6.0,70.2400000000001,16.488648648648656,1
235,29.0,8.0,90.88000000000008,52.91675675675682,1
236,30.0,3.0,74.4,28.1,1
237,30.0,4.0,82.48000000000013,12.562000000000003,1
238,30.0,6.0,70.2400000000001,17.956000000000003,1
239,30.0,8.0,90.88000000000008,49.782000000000075,1
240,1.0,3.0,24.0,7.2,2
241,1.0,4.0,54.0,10.796800000000003,2
242,1.0,6.0,18.0,5.1136000000000035,2
243,1.0,8.0,71.9200000000001,22.86400000000003,2
244,2.0,3.0,74.4,13.536,2
245,2.0,4.0,54.0,9.36,2
246,2.0,6.0,36.0,8.64,2
247,2.0,8.0,71.9200000000001,22.537600000000026,2
248,3.0,3.0,74.4,18.336,2
249,3.0,4.0,62.560000000000095,10.662400000000002,2
250,3.0,6.0,36.0,9.12,2
251,3.0,8.0,76.00000000000011,31.35040000000004,2
252,4.0,3.0,74.4,21.215999999999998,2
253,4.0,4.0,62.560000000000095,10.422400000000003,2
254,4.0,6.0,36.0,8.16,2
255,4.0,8.0,79.84000000000012,33.24160000000004,2
256,5.0,3.0,74.4,29.97037037037037,2
257,5.0,4.0,62.560000000000095,14.31703703703704,2
258,5.0,6.0,48.0,11.333333333333334,2
259,5.0,8.0,83.92000000000013,36.856296296296335,2
260,6.0,3.0,74.4,34.32592592592593,2
261,6.0,4.0,62.560000000000095,12.53925925925926,2
262,6.0,6.0,48.0,16.0,2
263,6.0,8.0,83.92000000000013,34.8592592592593,2
264,7.0,3.0,74.4,31.14074074074074,2
265,7.0,4.0,62.560000000000095,11.205925925925929,2
266,7.0,6.0,48.0,13.11111111111111,2
