,gen,best,mean,std,solution
0,0.0,72.86000000000004,35.28637500000002,19.199024112161933,0
1,1.0,63.460000000000036,36.38720000000002,20.794172168182126,0
2,2.0,72.26000000000005,45.51760000000003,17.983991165478262,0
3,3.0,72.26000000000005,43.57240000000002,19.352717799833705,0
4,4.0,72.26000000000005,45.05760000000002,18.564918589641064,0
5,5.0,72.26000000000005,45.15560000000003,19.62779754939408,0
6,6.0,72.26000000000005,45.18220000000003,19.27994769598715,0
7,7.0,72.26000000000005,43.52260000000003,19.70756741051519,0
8,8.0,72.66000000000005,46.859800000000035,18.643681287771475,0
9,9.0,72.66000000000005,44.16980000000003,20.94645564194574,0
10,10.0,72.66000000000005,44.74980000000004,21.45098216772371,0
11,11.0,72.66000000000005,45.103400000000036,19.693785629989993,0
12,12.0,72.66000000000005,50.62420000000003,16.81445456623557,0
13,13.0,72.66000000000005,52.09940000000004,15.937502051450856,0
14,14.0,72.66000000000005,51.908600000000035,14.710685437463486,0
15,15.0,72.66000000000005,49.32380000000003,19.099600141364224,0
16,16.0,72.66000000000005,49.14760000000003,17.399753970674425,0
17,17.0,73.56000000000004,50.82560000000003,18.684025707539593,0
18,18.0,73.56000000000004,55.18820000000002,12.422437472573577,0
19,19.0,73.56000000000004,52.960400000000035,14.793970928726345,0
20,20.0,73.56000000000004,53.882000000000026,14.599042571346935,0
21,21.0,73.56000000000004,53.11220000000003,14.009185813601025,0
22,22.0,73.56000000000004,53.891000000000034,13.637394875855147,0
23,23.0,77.98000000000002,53.32660000000003,12.979290290304789,0
24,24.0,77.98000000000002,54.22460000000003,13.583316194508622,0
25,25.0,77.98000000000002,53.42800000000004,14.943699675783108,0
26,26.0,77.98000000000002,55.02500000000002,12.943016147714571,0
27,27.0,77.98000000000002,55.079200000000036,11.745529505305417,0
28,28.0,77.98000000000002,53.833400000000026,14.06299656687721,0
29,29.0,77.98000000000002,53.079600000000035,13.53979408410631,0
30,30.0,77.98000000000002,53.99920000000004,13.236737942559724,0
31,31.0,77.98000000000002,55.01880000000003,14.004696303740406,0
32,32.0,77.98000000000002,54.69520000000004,15.215280245858112,0
33,33.0,77.98000000000002,51.22100000000004,17.40515587405066,0
34,34.0,77.98000000000002,53.82520000000003,13.642034634173898,0
35,35.0,77.98000000000002,52.99020000000003,16.269323156173403,0
36,36.0,77.98000000000002,57.12120000000002,11.992508601622937,0
37,37.0,77.98000000000002,55.83580000000002,14.264943685833467,0
38,38.0,81.38000000000002,54.368000000000045,14.713709797328482,0
39,39.0,84.72,54.46460000000002,15.15087531596773,0
40,40.0,84.72,54.45720000000003,14.743605805907869,0
41,41.0,84.72,53.56100000000003,17.35873944156085,0
42,42.0,84.72,54.58160000000002,16.826678502901288,0
43,43.0,84.72,55.48200000000003,17.536223424671583,0
44,44.0,84.72,57.03300000000003,17.168033638131078,0
45,45.0,84.72,53.65180000000004,20.39262456772057,0
46,46.0,84.72,59.94020000000004,12.614123987023438,0
47,47.0,84.72,59.257800000000024,13.341762071030953,0
48,48.0,84.72,59.58780000000002,13.656779970402985,0
49,49.0,84.72,60.045000000000016,13.507756993668496,0
50,50.0,84.72,62.46180000000003,12.235271666783706,0
51,0.0,62.88000000000004,36.08237500000003,16.54354653208843,1
52,1.0,69.86000000000003,34.669000000000025,19.53734155406002,1
53,2.0,69.86000000000003,39.57040000000003,18.82485112397972,1
54,3.0,69.86000000000003,41.159800000000025,19.878075861611965,1
55,4.0,69.86000000000003,39.24040000000002,19.818073767144984,1
56,5.0,69.86000000000003,40.147800000000025,20.49772219442932,1
57,6.0,72.80000000000004,44.134000000000036,20.16249875387474,1
58,7.0,72.80000000000004,43.31160000000003,21.04911117933487,1
59,8.0,72.80000000000004,45.51260000000003,19.133004501123192,1
60,9.0,72.80000000000004,41.071200000000026,21.501305322235677,1
61,10.0,72.80000000000004,47.63460000000003,17.195310024538678,1
62,11.0,73.20000000000005,47.239200000000025,18.11374172720811,1
63,12.0,73.20000000000005,49.05740000000004,15.987742218337155,1
64,13.0,73.20000000000005,45.59660000000004,19.908252973076277,1
65,14.0,73.20000000000005,49.488600000000034,15.520437688415882,1
66,15.0,73.20000000000005,52.59160000000003,13.835618433593783,1
67,16.0,73.20000000000005,52.80440000000002,14.119216006563542,1
68,17.0,73.20000000000005,52.07340000000003,14.99267129100082,1
69,18.0,73.20000000000005,53.632400000000025,14.47676781053009,1
70,19.0,73.20000000000005,52.10720000000003,16.68770793608278,1
